Altium Designer Pick and Place Locations
D:\lab_ws\prj\wi4b\wicl\design\WiCL v1.0\mft\pcb\WiCL_Pick Place\wicl_v1.0.txt

========================================================================================================================
File Design Information:

Date:       28/10/20
Time:       15:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator      Comment                    Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                        
C36             "CAP 22nF 500V 1210(3225)" TopLayer    CAPC1210(3225)190_N           55.0830      23.9630      180      "CAP 22nF 500V ±10% 1210 (3225 Metric) Thickness 1.9mm SMD"                        
D11             SP0503BAHTG                TopLayer    LFUS-SOT143-4_V               59.3995      6.6749       270      "TVS Diode Array, 30 pF, 30 KV, -40 to 85 degC, 4-Pin SOT143, RoHS, Tape and Reel" 
C40             "CAP 22nF 500V 1210(3225)" TopLayer    CAPC1210(3225)190_N           57.5315      18.4302      360      "CAP 22nF 500V ±10% 1210 (3225 Metric) Thickness 1.9mm SMD"                        
R33             MCS04020Z0000ZE000         TopLayer    R0402                         -3.4628      26.0096      180      "RES SMD 0.0OHM JUMPER 1/10W 0402"                                                 
R31             MCS04020Z0000ZE000         TopLayer    R0402                         -3.4628      27.3642      360      "RES SMD 0.0OHM JUMPER 1/10W 0402"                                                 
P2              1985234                    TopLayer    1985234_(6_PIN)               71.1600      12.7610      90       "TERM BLOCK PCB 6POS 3.5MM GREEN"                                                  
Q3              NUD3124LT1G                TopLayer    SOT-23-3                      59.2380      10.2817      270      "IC INDCT LOAD DRVR AUTO SOT23"                                                    
Q1              NUD3124LT1G                TopLayer    SOT-23-3                      50.0122      27.3750      270      "IC INDCT LOAD DRVR AUTO SOT23"                                                    
P107            0022284060                 TopLayer    HDR1X6                        38.4682      28.3790      180      "CONN HEADER 6POS .100 VERT TIN"                                                   
P105            0022284060                 TopLayer    HDR1X6                        27.4682      4.1290       360      "CONN HEADER 6POS .100 VERT TIN"                                                   
P1              1985218                    TopLayer    1985218_(4pin)                71.1600      35.7606      90       "Fixed Terminal Blocks PTSA 1.5/4-3.5-Z"                                           
