Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,APN,DNP,LOAD,MFT,RATING,TYPE,VALUE,MPN,Manufacturer Part Number,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","","CAP CER 4.7UF 50V X7R 1210","C1, C4, C21","","Not managed","","3","","","","Taiyo Yuden","50V","SMD","4.7µF","UMK325B7475KM-T","","C1210","KEMET","C1210C475K5RACTU","Volume Production","Newark","29M4627","0.128","0.384"
"","","CAP CER 10UF 6.3V X7R 0805","C2, C13","","Not managed","","2","","","","Taiyo Yuden","6.3V","SMD","10µF","JMK212B7106KG-T","","C0805","KEMET","C0805C106M9RACAUTO","Unknown","Newark","33AC0561","0.065","0.325"
"","","CAP CER 0.1UF 25V X7R 0603","C3","","Not managed","","1","","","","Kyocera AVX","25V","SMD","0.1uF","06033C104JAT2A","","C0603","KEMET","C0603C104M3RACTU","Volume Production","Newark","03M7460","0.005","0.005"
"","GRM31CR71C106KAC7L","CAP CER 10UF 16V X7R 1206","C5, C8","","Not managed","","2","","","","Murata Electronics North America","16V","SMD","10µF","GRM31CR71C106KAC7L","","C1206","TDK","C3216X7R1C106M160AC","Volume Production","Newark","87R4266","0.034","0.068"
"","GRM155R71H104ME14D","CAP CER 0.1UF 50V X7R 0402","C6, C7, C9, C20, C34, C35, C37","","Not managed","","7","","","","Murata Electronics North America","50V","SMD","0.10µF","GRM155R71H104ME14D","","C0402","Murata","GCM155R71H104KE02D","Volume Production","Arrow Electronics","GCM155R71H104KE02D","0.0533","0.3731"
"","GRM155R61A104KA01D","CAP CER 0.1UF 10V 10% X5R 0402","C10, C15, C17, C18, C23, C27","","Not managed","","6","","","","Murata Electronics North America","10V","Surface Mount","0.1µF","GRM155R61A104KA01D","","C0402","Kyocera AVX","0402ZD104KAT2A","Volume Production","Newark","34M9179","0.002","0.012"
"","GCM188R71H224KA64D","CAP CER 0.22UF 50V X7R 0603","C11","","Not managed","","1","","","","Murata Electronics North America","50V","Surface Mount, MLCC","0.22µF","GCM188R71H224KA64D","","C0603","TDK","C1608X7R1H224K080AB","Volume Production","Newark","87R3734","0.033","0.033"
"","GCM188R71H224KA64D","CAP CER 0.22UF 50V X7R 0603","C12","","Not managed","","1","","","","Murata Electronics North America","50V","Surface Mount, MLCC","0.22µF","GCM188R71H224KA64D","","C0603","Murata","GCM188R71H224KA64D","Volume Production","Arrow Electronics","GCM188R71H224KA64D","0.0269","0.0269"
"","GRM155R71E103KA01D","CAP CER 10000PF 25V X7R 0402","C14","","Not managed","","1","","","","Murata Electronics North America","25V","SMD","10000pF","GRM155R71E103KA01D","","C0402","Vishay Vitramon","VJ0402Y103KXXCW1BC","Volume Production","Newark","62AC8249","0.002","0.002"
"","GRT21BR61A106KE01L","CAP CER 10UF 10V X5R 0805","C16","","Not managed","","1","","","","Murata","10V","SMD","10µF","GRT21BR61A106KE01L","","CAPC2012X135N","Samsung","CL21A106KPCLQNC","Volume Production","Newark","82AC9392","0.011","0.011"
"","DSK-3R3H334T-HL","CAP 330MF -20% +80% 3.3V SMD","C19","","Not managed","","1","CY-330M33A-X1-Z","","","Elna","3.3V","SMD","330mF","DSK-3R3H334T-HL","","ELNA_DSK-3R3H334T-HL","Elna","DSK-3R3H334T-HL","Volume Production","Digi-Key","604-1160-6-ND","2.09","2.09"
"","GRM155R61A104KA01D","CAP CER 0.1UF 10V 10% X5R 0402","C22","","Not managed","","1","","","DNP","Murata Electronics North America","10V","Surface Mount","0.1µF","GRM155R61A104KA01D","","C0402","Kyocera AVX","0402ZD104KAT2A","Volume Production","Newark","34M9179","0.002","0.002"
"","GRM1555C1H470JA01D","CAP CER 47PF 50V C0G/NP0 0402","C24","","Not managed","","1","","","","Murata","50V","SMD","47pF","GRM1555C1H470JA01D","","CAPC1005X55N","KEMET","C0402C470J5GACTU","Volume Production","Newark","03C3054","0.002","0.002"
"","GRM1555C1H1R8CA01D","CAP CER 1.8PF 50V C0G/NP0 0402","C25","","Not managed","","1","","","","Murata","50V","SMD","1.8pF","GRM1555C1H1R8CA01D","","CAPC1005X55N","KEMET","C0402C189C5GACTU","Volume Production","Newark","11AC2872","0.011","0.011"
"","GRM1555C1H1R0CA01D","CAP CER 1PF 50V C0G/NP0 0402","C26","","Not managed","","1","","","","Murata","50V","SMD","1pF","GRM1555C1H1R0CA01D","","CAPC1005X55N","TDK","C1005C0G1H010B050BA","Volume Production","Newark","90R7555","0.003","0.003"
"","GRM1555C1H100JA01D","CAP CER 10PF 50V 5% NP0 0402","C28, C29","","Not managed","","2","","","","Murata Electronics North America","50V","Surface Mount","10pF","GRM1555C1H100JA01D","","C0402","Yageo","CC0402JRNPO9BN100","Volume Production","Newark","65R7554","0.005","0.01"
"","GRM1555C1H1R2CA01D","CAP CER 1.2PF 50V C0G/NP0 0402","C30, C31, C32","","Not managed","","3","","","","Murata","50V","SMD","1.2pF","GRM1555C1H1R2CA01D","","CAPC1005X55N","KEMET","C0402C129C5GACTU","Volume Production","Newark","01J3923","0.003","0.009"
"","GRM1555C1H120JA01D","CAP CER 12PF 50V C0G/NP0 0402","C33, C38","","Not managed","","2","","","","Murata","50V","SMD","12pF","GRM1555C1H120JA01D","","CAPC1005X55N","Kyocera AVX","04025A120JAT2A","Volume Production","Newark","34M9190","0.002","0.004"
"","CAP 22nF 500V 1210(3225)","CAP 22nF 500V ±10% 1210 (3225 Metric) Thickness 1.9mm SMD","C36, C40","CMP-1038-01323-1","Released","Up to date","2","","","","","","","22nF","","","CAPC1210(3225)190_N","Kyocera AVX","12107C223KAT2A","Volume Production","Newark","30H1157","0.07","0.14"
"","GRM1555C1H220JA01J","CAP CER 22PF 50V NP0 0402","C39","","Not managed","","1","","","","Murata Electronics North America","50V","SMD","22pF","GRM1555C1H220JA01J","","C0402","KEMET","C0402C220K5GACTU","Volume Production","Newark","07X0698","0.002","0.002"
"","MBR0520L","DIODE SCHOTTKY 20V 0.5A SOD123","D1","","Not managed","","1","","","","","","","","","MBR0520L","SOD123","Vishay","MBR0520L","Unknown","Digi-Key","MBR0520LCT-ND","0.34","0.34"
"","","DIODE SCHOTTKY 40V 1A SMA","D2, D12","","Not managed","","2","","","","Diodes","40V","SMD","B140-13-F","B140-13-F","","DO-214AC, SMA","Diodes","B140-13-F","Volume Production","Digi-Key","B140-FDICT-ND","0.37","0.74"
"","BZX84-C3V0,215","DIODE ZENER 3V 250MW TO236AB","D3","","Not managed","","1","","","","","","","","","BZX84-C3V0,215","SOT-23(TO-236AB)","Nexperia","BZX84-C3V0,215","Unknown","Digi-Key","1727-5032-6-ND","0.13","0.13"
"","","LED BLUE 0402 SMD","D4","","Not managed","","1","","","DNP","Vishay Semiconductor Opto Division","","SMD","Blue","VLMB1500-GS08","","LED0402(BLUE)","Vishay","VLMB1500-GS08","Not Recommended for New Design","Future Electronics","4101061","0.188","0.188"
"","","LED GREEN CLEAR CHIP SMD","D5","","Not managed","","1","","","DNP","SunLED","","SMD","green","XZVG68W-2","","LED0402(GREEN)","SunLED","XZVG68W-2","Volume Production","Digi-Key","1497-1219-1-ND","0.5","0.5"
"","VLMB1500-GS08","LED BLUE 0402 SMD","D6","","Not managed","","1","","","","Vishay Semiconductor Opto Division","","SMD","Blue","VLMB1500-GS08","","LED0402(BLUE)","Vishay","VLMB1500-GS08","Not Recommended for New Design","Future Electronics","4101061","0.188","0.188"
"","VLMS1500-GS08","LED RED 0402 SMD","D7","","Not managed","","1","","","","Vishay Semiconductor Opto Division","","SMD","Red","VLMS1500-GS08","","LED0402(RED)","Vishay","VLMS1500-GS08","Volume Production","Arrow Electronics","VLMS1500-GS08","0.2977","0.2977"
"","SMBJ33A-TP","TVS DIODE 33VWM 53.3VC SMB","D8","","Not managed","","1","","","","Micro Commercial Co","33V","Surface Mount","SMBJ33A-TP","SMBJ33A-TP","","DO-214AA, SMB","MCC","SMBJ33A-TP","Volume Production","Digi-Key","SMBJ33A-TPMSDKR-ND","0.45","0.45"
"","1N4448WS-7-F","DIODE GEN PURP 75V 250MA SOD323","D9","","Not managed","","1","","","","Diodes","75V","SMD","1N4448WS-7-F","1N4448WS-7-F","","SOD-323","Diodes","1N4448WS-7-F","Volume Production","Newark","96AC5303","0.02","0.02"
"","XZVG68W-2","LED GREEN CLEAR CHIP SMD","D10","","Not managed","","1","","","","SunLED","","SMD","green","XZVG68W-2","","LED0402(GREEN)","SunLED","XZVG68W-2","Volume Production","Digi-Key","1497-1219-6-ND","0.5","0.5"
"","SP0503BAHTG","TVS Diode Array, 30 pF, 30 KV, -40 to 85 degC, 4-Pin SOT143, RoHS, Tape and Reel","D11","CMP-2000-05191-1","Released","Up to date","1","","","","","","","","","","LFUS-SOT143-4_V","Littelfuse","SP0503BAHTG","Volume Production","Newark","06X3961","0.373","0.373"
"","SZ1SMB5925BT3G","3 W Zener Voltage Regulator, 2-Pin SMB, Pb-Free, Tape and Reel","D13","CMP-1060-00216-1","Released","Up to date","1","","","","","","","","","","ONSC-SMB-2-403A-03_H_V","ON Semiconductor","SZ1SMB5925BT3G","Volume Production","Mouser","863-SZ1SMB5925BT3G","0.62","0.62"
"","","CONN HEADER VERT 12POS 2.54MM","J1","","Not managed","","1","","","","Wurth Electronics","","TH","61301221121","61301221121","","61301221121","Wurth Electronics","61301221121","Volume Production","Digi-Key","732-5297-ND","0.78","0.78"
"","U.FL-R-SMT-1(80)","RF Connectors / Coaxial Connectors SMT MALE RECEPT AU","J2","","Not managed","","1","JX-001UFL-80","","","Hirose","","SMD","U.FL-R-SMT-1(80)","U.FL-R-SMT-1(80)","","HIROSE_U.FL-R-SMT","Hirose","U.FL-R-SMT-1(80)","Volume Production","Future Electronics","7097379","1.12","1.12"
"","U.FL-R-SMT-1(10)","CONN UMC JACK STR 50 OHM SMD","J3","","Not managed","","1","","","","Hirose Electric Co Ltd","","","","U.FL-R-SMT-1(10)","","U.FL-R-SMT-1(10)","Hirose","U.FL-R-SMT-1(10)","Volume Production","Mouser","798-U.FL-R-SMT-110","1.22","1.22"
"","0603 Jumper","","J4","","Not managed","","1","","","","","","","","","","0603 Jumper","","","","","","",""
"","Jennic pinout","","Jennic pinout","","Not managed","","1","","","","","","","","","","JN516X PINOUT","","","","","","",""
