FUNCTION,MPN,ALT MPN1,ALT MPN2,MFT,ALT MFT1,ALT MFT2,Quantity,Designator,DNP,VALUE,Description,Footprint,TYPE,RATING
,,,,,,,,,,,,,,
Energy Meter,,,,,,,2,"3V3_AC, GND_AC",,,,TestPad TH,,
Energy Meter,GRM155R71H104ME14D,,,Murata Electronics North America,,,5,"C1, C4, C13, C15, C17",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Energy Meter,GRM188R71C105KA12D,,,Murata Electronics North America,,,2,"C2, C6",,1µF,CAP CER 1UF 16V X7R 0603,C0603,SMD,"±10%, 16V"
Switch,EMK107B7105KA-T,,,Taiyo Yuden,,,2,"C3, C7",,1µF,CAP CER 1UF 16V X7R 0603,C0603,SMD,16V
Energy Meter,GRM1555C1H102JA01D,,,Murata Electronics North America,,,3,"C5, C16, C18",,1000pF,CAP CER 1000PF 50V NP0 0402,C0402,SMD,50V
analog outputs,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C8,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,GRM219R61C226ME15L,,,Murata Electronics North America,,,2,"C12, C32",,22µF,CAP CER 22UF 16V 20% X5R 0805,C0805,SMD,16V 20% X5R
Energy Meter,GRM1555C1H180FA01D,,,Murata Electronics North America,,,2,"C19, C20",DNP,18pF,CAP CER 18PF 50V NP0 0402,C0402,SMD,50V
gps,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C26,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
gps,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C27,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Analog Inputs,GCM188R71H224KA64D,,,Murata Electronics North America,,,3,"C28, C601, C603",,0.22µF,CAP CER 0.22UF 50V X7R 0603,C0603,SMD,50V
Power Supply,GRM21BR61C226ME44L,,,Murata Electronics North America,,,1,C29,,22µF,CAP CER 22UF 16V X5R 0805,C0805,SMD,16V
I2C Devices,GRM155R71H104ME14D,,,Murata Electronics North America,,,5,"C34, C35, C36, C37, C38",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Top,R46KF310000P1M,,,Kemet,,,1,C101,DNP,0.1µF,CAP FILM 0.1UF 20% 560VDC RADIAL,R46KF310000P1M,TH,560VDC
analog outputs,GRM188R71C474KA88D,,,Murata Electronics North America,,,1,C104,,0.47µF,CAP CER 0.47UF 16V X7R 0603,C0603,SMD,16V
Jennic,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C202,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
Jennic,GRM155R71H104ME14D,,,Murata Electronics North America,,,2,"C203, C209",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C404,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
Power Supply,GRM21BR61C226ME44L,,,Murata Electronics North America,,,1,C405,DNP,22µF,CAP CER 22UF 16V X5R 0805,C0805,SMD,16V
Power Supply,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C406,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Relay,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C701,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,MMSZ5240BS-7-F,BZT52C10S,,Diodes Incorporated,Bytesonic,,1,D1,,MMSZ5240BS-7-F,DIODE ZENER 10V 200MW SOD323,SOD-323,SMD,10V
Top,XZVGR68W-3,,,SunLED,,,1,D2,,Green,LED GREEN CLEAR 0402 SMD,LED0402(GREEN),SMD,
gps,VLMS1500-GS08,YLS0402/R/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect.,,2,"D8, D9",DNP,Red,LED RED 0402 SMD,LED0402(RED),SMD,
Analog Inputs,SMBJ33A-TP,,,Micro Commercial Co,,,1,D13,,SMBJ33A-TP,TVS DIODE 33VWM 53.3VC SMB,"DO-214AA, SMB",SMD,33V
Top,VLMS1500-GS08,YLS0402/R/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect.,,1,D14,,Red,LED RED 0402 SMD,LED0402(RED),SMD,
Top,VLMB1500-GS08,YLS0402/B/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect,,1,D101,,Blue,LED BLUE 0402 SMD,LED0402(BLUE),SMD,
analog outputs,SMAJ22CA,SMAJ22CA,,Littelfuse,Bytesonic,,1,D801,,SMAJ22CA,TVS Diodes - Transient Voltage Suppressors 22Vr 400W 11.3A 5% BiDirectional,DO-214AC,SMD,22 V
Relay,MBR0520L,B0520W,,ON Semiconductor,Bytesonic,,1,D901,,MBR0520L,DIODE SCHOTTKY 20V 0.5A SOD123,SOD123,SMD,20V 500MA
Top,SS-5-5A-AP,,,Eaton Bussmann,,,1,F101,,5A,FUSE BOARD MOUNT 5A 250VAC RAD,SS-5-5A-AP,TH,
