Altium Designer Pick and Place Locations
C:\Users\Lorence\Documents\GitHub\Wi4B-WiSN-v4.3.0\wip\WiSN v4.3.0\mft\pca\wisn_Pick Place\wisn_v4.3.0.txt

========================================================================================================================
File Design Information:

Date:       08/11/21
Time:       14:59
Revision:   65f41cb40d2830574b14f17c7210808f8f0a8879
Variant:    No variations
Units used: mm

Designator Comment                Layer    Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                   
R10        CRCW06030000Z0EA       TopLayer R0603                                  21.8948      -19.5834     360      "RES SMD 0.0OHM JUMPER 1/10W 0603"                                            
R9         CRCW06030000Z0EA       TopLayer R0603                                  21.8948      -17.9070     0        "RES SMD 0.0OHM JUMPER 1/10W 0603"                                            
R8         RC0402JR-0747KL        TopLayer R0402                                  -35.0012     7.4661       180      "RES SMD 47K OHM 5% 1/16W 0402"                                               
R7         RC0402FR-073RL         TopLayer R0402                                  -38.0333     4.1467       270      "RES 3 OHM 1% 1/16W 0402"                                                     
Q2         NUD3124LT1G            TopLayer SOT-23-3                               -34.4932     3.7498       360      "IC INDCT LOAD DRVR AUTO SOT23"                                               
Q1         PBSS3515VS,115         TopLayer SOT50P160X60-6N                        -37.5412     6.9835       270      "TRANS 2PNP 15V 0.5A SOT666"                                                  
C8         GRM155R71H104ME14D     TopLayer C0402                                  21.7932      -9.0932      360      "CAP CER 0.1UF 50V X7R 0402"                                                  
R6         9C08052A0R00JLHFT      TopLayer R0805                                  38.5064      8.7884       225      "RES SMD 0.0 OHM JUMPER 1/8W 0805"                                            
R57        RMCF1206JT100R         TopLayer R1206                                  -17.3407     14.7846      225      "RES 100 OHM 5% 1/4W 1206"                                                    
R19        CRCW04020000Z0ED       TopLayer R0402                                  -9.6012      -25.6049     45       "RES SMD 0.0OHM JUMPER 1/16W 0402"                                            
3V3_AC     "TestPad TH"           TopLayer TestPad_TH                             0.1524       47.0134      90       ""                                                                            
GND_AC     "TestPad TH"           TopLayer TestPad_TH                             12.4714      44.4246      90       ""                                                                            
D1         MMSZ5240BS-7-F         TopLayer SOD-323                                29.8530      -0.3048      315      "DIODE ZENER 10V 200MW SOD323"                                                
U16        M24C32-DFDW6TP         TopLayer 8-TSSOP                                7.5104       -33.2232     360      "IC EEPROM 32KBIT 400KHZ 8TSSOP"                                              
U15        APDS-9300-020          TopLayer APDS-9300-020                          -2.8526      -24.9588     180      "IC SENSOR AMBIENT LIGHT 6CHIPLED"                                            
U14        ATSHA204A-XHDA-T       TopLayer TSSOP-8_(wide_Body)                    4.1242       -33.2232     360      "IC AUTHENTICATION CHIP 8TSSOP"                                               
U7         KX122-1037             TopLayer KX122-1037                             -1.7272      -29.0302     360      "ACCELEROMETER 2-8G I2C/SPI 12LGA"                                            
R55        CRCW0402330RFKED       TopLayer R0402                                  0.3048       -25.4508     270      "RES SMD 330 OHM 1% 1/16W 0402"                                               
R54        CRCW0402330RFKED       TopLayer R0402                                  -2.2226      -31.6230     270      "RES SMD 330 OHM 1% 1/16W 0402"                                               
R53        MCS04020C1001FE000     TopLayer R0402                                  -25.4936     -38.9128     225      "RES SMD 1K OHM 1% 1/10W 0402"                                                
R52        MCS04020C1001FE000     TopLayer R0402                                  -15.4940     -19.4056     45       "RES SMD 1K OHM 1% 1/10W 0402"                                                
R51        MCS04020C1001FE000     TopLayer R0402                                  -16.4515     -18.5400     45       "RES SMD 1K OHM 1% 1/10W 0402"                                                
R44        MCS04020C1001FE000     TopLayer R0402                                  0.2968       -29.1084     270      "RES SMD 1K OHM 1% 1/10W 0402"                                                
R41        CRCW0402330RFKED       TopLayer R0402                                  -0.9780      -31.6230     270      "RES SMD 330 OHM 1% 1/16W 0402"                                               
C38        GRM155R71H104ME14D     TopLayer C0402                                  7.0532       -28.4988     360      "CAP CER 0.1UF 50V X7R 0402"                                                  
C37        GRM155R71H104ME14D     TopLayer C0402                                  3.6750       -28.5242     360      "CAP CER 0.1UF 50V X7R 0402"                                                  
C36        GRM155R71H104ME14D     TopLayer C0402                                  -2.8448      -22.7684     180      "CAP CER 0.1UF 50V X7R 0402"                                                  
C35        GRM155R71H104ME14D     TopLayer C0402                                  -4.0640      -29.0576     90       "CAP CER 0.1UF 50V X7R 0402"                                                  
C34        GRM155R71H104ME14D     TopLayer C0402                                  0.2780       -31.6230     270      "CAP CER 0.1UF 50V X7R 0402"                                                  
